SM0	SMITH
JNSN	JOHNSON
ALMS	WILLIAMS
JNS	JONES
PRN	BROWN
TFS	DAVIS
MLR	MILLER
ALSN	WILSON
MR	MOORE
TLR	TAYLOR
ANTRSN	ANDERSON
TMS	THOMAS
JKSN	JACKSON
AT	WHITE
HRS	HARRIS
MRTN	MARTIN
TMPSN	THOMPSON
KRS	GARCIA
MRTNS	MARTINEZ
RPNSN	ROBINSON
KLRK	CLARK
RTRKS	RODRIGUEZ
LS	LEWIS
L	LEE
ALKR	WALKER
HL	HALL
ALN	ALLEN
ANK	YOUNG
HRNNTS	HERNANDEZ
KNK	KING
RKT	WRIGHT
LPS	LOPEZ
HL	HILL
SKT	SCOTT
KRN	GREEN
ATMS	ADAMS
PKR	BAKER
KNSLS	GONZALEZ
NLSN	NELSON
KRTR	CARTER
MXL	MITCHELL
PRS	PEREZ
RPRTS	ROBERTS
TRNR	TURNER
FLPS	PHILLIPS
KMPL	CAMPBELL
PRKR	PARKER
AFNS	EVANS
ATRTS	EDWARDS
KLNS	COLLINS
STRT	STEWART
SNXS	SANCHEZ
MRS	MORRIS
RKRS	ROGERS
RT	REED
KK	COOK
MRKN	MORGAN
PL	BELL
MRF	MURPHY
PL	BAILEY
RFR	RIVERA
KPR	COOPER
RXRTSN	RICHARDSON
KKS	COX
HRT	HOWARD
ART	WARD
TRS	TORRES
PTRSN	PETERSON
KR	GRAY
RMRS	RAMIREZ
JMS	JAMES
ATSN	WATSON
PRKS	BROOKS
KL	KELLY
SNTRS	SANDERS
PRS	PRICE
PNT	BENNETT
AT	WOOD
PRNS	BARNES
RS	ROSS
HNTRSN	HENDERSON
KLMN	COLEMAN
JNKNS	JENKINS
PR	PERRY
PL	POWELL
LNK	LONG
PTRSN	PATTERSON
HS	HUGHES
FLRS	FLORES
AXNKTN	WASHINGTON
PTLR	BUTLER
SMNS	SIMMONS
FSTR	FOSTER
KNSLS	GONZALES
PRNT	BRYANT
ALKSNTR	ALEXANDER
RSL	RUSSELL
KRFN	GRIFFIN
TS	DIAZ
HS	HAYES
MRS	MYERS
FRT	FORD
HMLTN	HAMILTON
KRHM	GRAHAM
SLFN	SULLIVAN
ALS	WALLACE
ATS	WOODS
KL	COLE
AST	WEST
JRTN	JORDAN
ANS	OWENS
RNLTS	REYNOLDS
FXR	FISHER
ALS	ELLIS
HRSN	HARRISON
KPSN	GIBSON
MKTNLT	MCDONALD
KRS	CRUZ
MRXL	MARSHALL
ARTS	ORTIZ
KMS	GOMEZ
MR	MURRAY
FRMN	FREEMAN
ALS	WELLS
AP	WEBB
SMPSN	SIMPSON
STFNS	STEVENS
TKR	TUCKER
PRTR	PORTER
HNTR	HUNTER
HKS	HICKS
KRFRT	CRAWFORD
HNR	HENRY
PT	BOYD
MSN	MASON
MRLS	MORALES
KNT	KENNEDY
ARN	WARREN
TKSN	DIXON
RMS	RAMOS
RS	REYES
PRNS	BURNS
KRTN	GORDON
X	SHAW
HLMS	HOLMES
RS	RICE
